"","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15"
"FBgn0031081",1,7,7,4,9,8,1,8,5,2,6,6,8,9,15
"FBgn0052826",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0031085",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"FBgn0062565",51,76,103,112,131,79,99,181,121,130,56,83,157,99,105
"FBgn0031088",0,1,8,4,2,0,3,6,1,0,2,2,6,7,6
"FBgn0041626",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"FBgn0040784",0,0,1,1,3,4,3,6,1,1,3,0,1,7,1
"FBgn0031086",23,35,89,114,63,46,69,106,120,32,46,95,191,117,124
"FBgn0031082",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FBgn0031080",0,2,1,4,6,0,0,40,12,4,4,12,10,8,10
"FBgn0052821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0053217",275,274,289,443,430,392,259,565,561,241,412,376,530,552,493
"FBgn0052350",357,350,505,402,623,410,328,696,658,375,482,526,728,463,666
"FBgn0024733",40259,40765,43387,43786,70923,45130,50957,65573,42104,50784,40342,39946,58902,40165,53027
"FBgn0040372",1052,1071,515,748,948,889,996,624,938,568,1154,1273,767,1003,810
"FBgn0000316",744,858,582,922,924,854,949,970,952,613,935,724,887,963,803
"FBgn0024989",15,27,17,28,38,16,31,33,44,54,16,50,41,32,43
"FBgn0040371",53,50,40,58,54,59,49,106,122,85,32,90,84,72,52
"FBgn0029521",32,59,30,54,37,42,57,76,81,84,35,68,30,49,28
"FBgn0004034",8,87,156,216,97,21,27,364,77,11,40,42,168,141,81
"FBgn0000022",0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
"FBgn0004170",0,0,0,0,0,0,2,0,1,0,0,1,0,0,0
"FBgn0002561",0,1,0,1,0,1,3,0,3,0,1,1,1,0,1
"FBgn0000137",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"FBgn0029522",152,100,63,136,100,184,53,116,211,48,164,118,97,112,119
"FBgn0052817",22,12,8,23,20,27,31,17,27,12,30,14,22,13,19
"FBgn0029524",43,36,20,36,45,32,49,47,42,29,35,41,24,27,39
"FBgn0023536",206,249,162,143,379,196,317,223,131,225,221,184,201,152,244
"FBgn0023534",8,27,11,9,10,18,59,5,10,12,8,24,9,11,6
