"","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15"
"FBgn0015690",0,5,2,9,1,0,0,13,1,0,2,0,3,3,1
"FBgn0013077",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"FBgn0013105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0013139",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"FBgn0044888",19,12,20,13,19,9,12,26,11,9,9,11,24,13,15
"FBgn0013143",2,5,10,4,6,4,6,13,6,1,5,2,15,4,3
"FBgn0082392",190,101,129,72,276,225,85,228,210,245,364,186,282,146,255
"FBgn0017805",1,2,1,3,1,1,1,5,0,1,0,0,3,0,2
"FBgn0014836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0013134",0,0,0,2,0,0,0,0,1,0,0,0,1,0,0
"FBgn0013111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0040404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0020065",15,16,13,17,19,8,16,31,27,13,14,22,20,16,18
"FBgn0064312",13235,12488,10173,12811,17718,13386,14837,13596,12549,12039,13294,11358,14156,11021,13025
"FBgn0014844",108,180,77,157,111,111,183,152,136,56,153,175,130,133,102
"FBgn0068555",1,0,0,0,1,0,3,0,0,0,0,0,0,0,0
"FBgn0045508",2,4,2,2,1,3,3,1,0,1,4,3,3,5,2
"FBgn0028440",1,0,0,0,0,1,0,1,0,0,0,0,1,2,0
"FBgn0025647",265,332,132,236,191,220,293,214,256,113,216,287,151,245,180
"FBgn0041651",6,6,8,6,5,9,4,5,8,1,9,5,9,7,5
"FBgn0013100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0062279",94,96,69,136,109,82,62,102,111,41,189,207,108,167,112
"FBgn0046896",29,33,17,31,19,29,40,34,41,14,44,48,30,27,25
"FBgn0013069",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0040407",81,88,19,93,39,94,107,57,75,36,70,78,40,84,32
"FBgn0020673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0017815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0013132",34,25,58,36,90,32,35,66,73,59,60,55,92,53,84
"FBgn0013145",0,0,0,0,2,0,1,0,1,0,0,2,0,0,0
"FBgn0020069",0,7,10,6,6,2,12,7,2,3,4,3,5,3,7
"FBgn0067469",0,6,3,8,0,2,6,7,8,0,3,5,5,5,2
"FBgn0022839",0,0,1,0,1,0,0,2,0,0,1,0,0,0,0
"FBgn0020674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0013913",4,0,0,1,4,6,1,1,3,2,3,0,2,1,1
"FBgn0064310",903,1467,474,1238,840,1133,1630,1123,1783,577,937,1268,870,1128,837
"FBgn0015686",15,18,4,19,16,13,32,17,15,12,11,28,18,25,15
"FBgn0013917",85,74,26,80,67,76,99,83,69,40,85,74,59,63,53
"FBgn0013088",1,2,1,4,1,0,0,0,2,0,1,11,4,7,3
"FBgn0023562",1,1,0,0,1,0,0,0,0,0,0,1,4,1,0
"FBgn0043390",177,147,113,145,155,176,132,259,213,79,182,179,168,176,135
"FBgn0020672",33,36,21,46,38,15,55,11,34,20,37,38,35,45,30
"FBgn0042732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0064315",41,69,25,47,45,52,100,49,59,32,54,66,44,42,50
"FBgn0062278",16,61,80,127,106,34,26,109,148,80,52,148,341,173,166
"FBgn0013133",0,2,0,0,0,0,0,1,0,0,1,0,3,0,1
"FBgn0013072",0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
"FBgn0020071",12,35,9,20,29,20,63,34,18,17,11,22,9,21,13
"FBgn0013920",1,3,0,0,1,1,1,1,0,1,1,4,1,0,2
"FBgn0015212",44,69,22,46,30,44,69,41,47,32,49,59,46,46,30
"FBgn0013110",45,44,10,33,33,24,42,34,31,18,40,52,42,40,29
"FBgn0026093",4077,4117,1535,3826,1574,4143,3474,2167,4955,1716,4692,5541,2921,4892,2022
"FBgn0013073",1,3,4,1,2,0,2,2,2,1,8,16,9,8,2
"FBgn0013065",0,1,0,2,0,2,5,1,0,2,1,1,4,2,3
"FBgn0013112",21,38,9,21,31,31,43,19,24,17,35,33,27,33,32
"FBgn0022838",1,1,0,0,2,1,0,2,0,0,2,0,0,0,1
"FBgn0069457",1,0,0,0,1,0,3,1,2,0,0,2,0,0,0
