	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	symbol
FBgn0086355	1799.20228026711	-2.79460801056044	0.146567529715137	-19.0670335782552	4.7446782093742e-81	4.86329516460855e-77	3R	Tpi
FBgn0014869	1453.56237578054	-1.49522102048602	0.0933312476634987	-16.0205832228556	9.17853234333109e-58	4.70399782595719e-54	3R	Pglym78
FBgn0283536	1265.35351777636	-1.41107060664168	0.0896170041953058	-15.7455677001485	7.36670276062738e-56	2.51695677654769e-52	3R	Vha13
FBgn0053460	554.794301630078	6.51503396116158	0.423739338120396	15.3750982622021	2.4047830311464e-53	6.16225651731265e-50	2R	CG33460
FBgn0028990	335.510182480091	2.81345544518456	0.192010089293366	14.652643803972	1.29574066029523e-48	2.65626835360521e-45	2L	Spn27A
FBgn0035083	1878.16412659397	-2.47029022062339	0.174756569852064	-14.1356071632361	2.29149044136781e-45	3.91462950400334e-42	2R	Tina-1
FBgn0034935	327.115482050471	-2.8097780524225	0.199098098951954	-14.1125307936795	3.17959089191118e-45	4.65582952029851e-42	2R	Orcokinin
FBgn0039827	534.969387596422	-3.07136659819419	0.223224302386124	-13.7591049243441	4.49051974125264e-43	5.75347841847994e-40	3R	CG1544
FBgn0051211	1254.25398555703	-1.33246129941477	0.0990458720537719	-13.4529715553554	2.95744149685664e-41	3.36819726030895e-38	3R	CG31211
FBgn0030653	136.401620429196	-4.20749423929031	0.315866094049928	-13.3204997894622	1.7592583007716e-40	1.80323975829089e-37	X	CG7860
FBgn0037135	4659.83277079781	-1.30468927917534	0.0998886521664374	-13.0614364182373	5.46860962299131e-39	5.09574987596917e-36	3L	CG7414
FBgn0002868	1400.90643904348	-5.06464358516775	0.390654913065789	-12.9644947900984	1.94507694531898e-38	1.66141989079329e-35	3R	MtnA
FBgn0038683	853.700649810169	-1.44450739067403	0.111610877853788	-12.9423530972165	2.59555874791251e-38	2.04649824354641e-35	3R	CG11779
FBgn0038271	4171.76662650304	-1.515414118816	0.118401343080842	-12.7989605471055	1.66160424855702e-37	1.21653168197925e-34	3R	UQCR-C1
FBgn0010549	328.994327934674	-3.8884795208522	0.309099966704694	-12.5800062753392	2.72008271256487e-36	1.85872318691933e-33	2R	l(2)03659
FBgn0000346	718.166679777188	1.67420092469281	0.133332603590615	12.5565756582184	3.65825580349593e-36	2.34357012411458e-33	X	comt
FBgn0035085	412.475894412767	-2.52573643068082	0.20168347359568	-12.5232691883532	5.56930520418824e-36	3.35796343193703e-33	2R	CG3770
FBgn0038612	2529.00823506538	-2.26128817796985	0.180729909164486	-12.5119754025428	6.42073577806444e-36	3.65625231806448e-33	3R	cona
FBgn0032129	358.007451555891	4.79983233060026	0.386021523379337	12.4341054575953	1.70640340371011e-35	9.20559730948874e-33	2L	jp
FBgn0033926	36599.6397189065	1.57066893566931	0.128296892157085	12.2424550529735	1.84370069969052e-34	9.44896608591393e-32	2R	Arc1
FBgn0028331	1898.72684444658	-1.69168912196429	0.139325089310679	-12.1420279027564	6.32390320305891e-34	3.08666703958828e-31	X	l(1)G0289
FBgn0053465	222.765334204044	6.85148315459178	0.56489375823268	12.1287995392749	7.43310754842508e-34	3.46315238051623e-31	2R	CG33465
FBgn0027885	2886.43753480857	-1.55641667900417	0.128808904773618	-12.0831450414051	1.29663501261222e-33	5.74436675457045e-31	2L	NA
FBgn0003076	2410.14241552532	-2.61550855500155	0.216513227795091	-12.0801328474807	1.34502245960674e-33	5.74436675457045e-31	3L	Pgm1
FBgn0263240	522.37117412765	-1.74502288886101	0.146492285162896	-11.9120463369152	1.02432120064548e-32	4.19971692264646e-30	2R	Coop
FBgn0050147	355.351158536527	-1.82891515027782	0.154080818453524	-11.8698431682428	1.69785615769974e-32	6.69347139093166e-30	2R	Hil
FBgn0262366	161.31897161566	2.64948174523514	0.224038099011067	11.8260320763759	2.86361364684688e-32	1.08711258815483e-29	3L	CG43064
FBgn0013981	3872.6605361837	-1.39693173111356	0.118944654439921	-11.7443842910919	7.54701523577684e-32	2.76274664881116e-29	3R	His4r
FBgn0052432	237.941711671916	1.86935867852119	0.160263709010931	11.664266913938	1.94067449177573e-31	6.85928053127627e-29	3L	CG32432
FBgn0023537	2721.89280423977	-1.57408119997592	0.135572535231062	-11.6106200809268	3.63966534428312e-31	1.2435523259634e-28	X	CG17896
FBgn0035770	1746.76530932491	-1.28751584511797	0.111327730806804	-11.5650955587364	6.19223214063474e-31	2.04743159488729e-28	3L	pst
FBgn0051453	886.703705908233	-1.27950510848073	0.111092726518513	-11.5174516692369	1.07750701844587e-30	3.45138966845943e-28	3R	pch2
FBgn0032393	3100.88964840559	-1.35598944051192	0.118506312090193	-11.4423393707493	2.56864528745784e-30	7.97836793831602e-28	2L	Nfs1
FBgn0263353	356.469681498149	-2.28172905299438	0.201531562945343	-11.321943916116	1.02180635542498e-29	3.08044563032532e-27	3R	CG11000
FBgn0040813	2909.90011180555	5.3611866814005	0.474444411966425	11.2999258631376	1.3132882056537e-29	3.84605831655727e-27	3L	Nplp2
FBgn0015777	608.539590569911	-2.31790646713452	0.205821996216752	-11.2617043354954	2.02798153313966e-29	5.77411408741153e-27	2L	nrv2
FBgn0031322	275.211441400474	3.38821513142657	0.30107567293347	11.253699438464	2.22077888020849e-29	6.15215770868568e-27	2L	CG5001
FBgn0053784	2004.15445429069	2.00131371050539	0.179893416477539	11.1249969548234	9.48091117860666e-29	2.55735104159785e-26	3R	CG33784
