	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	symbol
FBgn0039129	955.57503605889	-3.43085681070782	0.187602746182013	-18.2878816037116	1.03354240935366e-74	1.05938096958751e-70	3R	RpS19b
FBgn0035770	1746.76530932491	-1.93117831149166	0.110614964937681	-17.4585627955463	2.96300203166701e-68	1.51853854122935e-64	3L	pst
FBgn0034935	327.115482050471	-3.26662946402334	0.197624189719998	-16.5295021254819	2.24994365745661e-61	7.68730749631007e-58	2R	Orcokinin
FBgn0035847	150.878933881818	-4.28172847797527	0.261968458335472	-16.3444427820855	4.76507085647098e-60	1.22104940697069e-56	3L	mthl7
FBgn0038612	2529.00823506538	-2.75301072974423	0.180530286699337	-15.2495782291047	1.65699989350543e-52	3.39684978168612e-49	3R	cona
FBgn0086355	1799.20228026711	-2.19201020532429	0.146913625459363	-14.9204010075336	2.42809762871912e-50	4.14800011572849e-47	3R	Tpi
FBgn0262366	161.31897161566	3.33094990153028	0.239171586531052	13.9270301704413	4.34030951771128e-44	6.35545322236294e-41	3L	CG43064
FBgn0032393	3100.88964840559	-1.54617345613055	0.118366975410248	-13.0625408883826	5.38983209179692e-39	6.9057223676148e-36	2L	Nfs1
FBgn0010317	380.813109468854	-2.44074933452194	0.193260722253357	-12.6293087703678	1.45551170481735e-36	1.65766610826421e-33	3L	CycJ
FBgn0002926	154.315877452841	-3.45246506903247	0.277976533092995	-12.4199875097999	2.03593278453312e-35	2.08683110414645e-32	3L	ndl
FBgn0028331	1898.72684444658	-1.72215328016558	0.139248936428436	-12.3674429718222	3.9210609071814e-35	3.65371584532812e-32	X	l(1)G0289
FBgn0014869	1453.56237578054	-1.13424124080991	0.0937172170069265	-12.1028054079549	1.02062570297116e-33	8.06178941698329e-31	3R	Pglym78
FBgn0283536	1265.35351777636	-1.08926477946296	0.0900021180965312	-12.1026571651867	1.02247085288569e-33	8.06178941698329e-31	3R	Vha13
FBgn0038271	4171.76662650304	-1.42104620079745	0.118402793892518	-12.00179619146	3.47668299013492e-33	2.54542861777735e-30	3R	UQCR-C1
FBgn0040524	226.289996491531	-2.50556008338175	0.211178531365955	-11.8646534151704	1.80649007267028e-32	1.23443488299136e-29	3R	CG11052
FBgn0039883	207.009215522915	-2.61661080750326	0.221248255853398	-11.8265827561464	2.84489429197831e-32	1.8225104057986e-29	3R	RhoGAP100F
FBgn0031317	1142.10340794291	1.21331692039986	0.103791297039649	11.6899678008298	1.43440985406234e-31	8.64864764949354e-29	2L	Charon
