	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	symbol
FBgn0033469	304.874468636313	5.04050803413112	0.416566171315413	12.1001377001268	1.05434170526417e-33	1.08070024789578e-29	2R	CG12133
FBgn0250819	116.79359148579	4.10580276483675	0.357513143172708	11.4843407668884	1.58137088952023e-30	8.10452580879119e-27	4	CG33521
FBgn0085484	198.929372057159	-2.26184262401095	0.204191247072347	-11.0770792403729	1.62073678470122e-28	5.53751734772917e-25	3L	Pdxk
FBgn0039129	955.57503605889	1.96153455663092	0.181012858652681	10.8364376499606	2.31303302027442e-27	5.9271471144532e-24	3R	RpS19b
FBgn0000826	171.562004521329	-2.24841033822813	0.229800631815211	-9.78417822643823	1.31660435705481e-22	2.69903893196235e-19	X	png
FBgn0000146	1675.08400902098	-1.26696847570831	0.130486880519327	-9.70954681931149	2.74555081578075e-22	4.02027083739324e-19	2L	aub
FBgn0036282	120.01856326761	-3.21568061185589	0.331178043022541	-9.70982430630831	2.73808673024693e-22	4.02027083739324e-19	3L	Smyd4-2
FBgn0032221	192.876854288048	1.7417206515672	0.180786466140733	9.63413185039727	5.73749182565347e-22	7.35116140161851e-19	2L	Schip1
FBgn0031360	406.661169489687	-1.41032753160168	0.147538205426454	-9.55906659922544	1.18823495139273e-21	1.35326758353061e-18	2L	CG31937
FBgn0002962	163.4779302308	1.78816442999576	0.188785369942346	9.47194388284356	2.74683588689462e-21	2.81550678406699e-18	3R	nos
FBgn0030647	142.498675037113	2.50238713598883	0.271080145572538	9.23117084323397	2.67689574374426e-20	2.49438012485261e-17	X	CG6324
FBgn0032449	72.8235489859224	-2.75215317024599	0.301131861052995	-9.13936227346484	6.28216879082925e-20	5.36601917549998e-17	2L	CG17036
FBgn0053138	1040.41622823913	-1.23129233359307	0.135221663640602	-9.10573276827634	8.56860337229127e-20	6.7560141973835e-17	2R	AGBE
FBgn0036191	476.241243755763	-1.29718128751137	0.143899054836959	-9.01452263867273	1.97729708548761e-19	1.44766393758914e-16	3L	Sugb
FBgn0045980	424.705721889949	-1.98330120134034	0.223008640444915	-8.89338277379542	5.92761902237427e-19	4.05053966528908e-16	3R	niki
FBgn0038828	50.3235977975902	6.24756103344577	0.704372416958237	8.86968439284611	7.33535007956067e-19	4.69920864471856e-16	3R	CG17270
FBgn0035847	150.878933881818	1.59911520048745	0.187220836964466	8.54133133050231	1.32684164381832e-17	8.00007461713986e-15	3L	mthl7
FBgn0010549	328.994327934674	-2.50636516510052	0.295980487088107	-8.46800811012392	2.4962493542146e-17	1.42147532670554e-14	2R	l(2)03659
FBgn0283442	44.7672403248648	4.40261217126275	0.525109900040259	8.38417285776788	5.10836795829703e-17	2.7558300827655e-14	2L	vas
FBgn0035151	138.192131586494	-2.01137599994392	0.240222653219129	-8.37296555087651	5.61860345130789e-17	2.87953426879529e-14	3L	CG17129
FBgn0052679	62.76167068817	3.04602577531246	0.364149877281511	8.36475848365503	6.02381889363396e-17	2.94019731713086e-14	X	CG32679
FBgn0052432	237.941711671916	1.34092683859189	0.161667133924682	8.29436884318498	1.09163246902585e-16	5.08601491250678e-14	3L	CG32432
FBgn0003227	140.341999455547	-1.63826051203152	0.202051645410548	-8.10812754680986	5.14057616455454e-16	2.29090894289931e-13	3R	rec
FBgn0052476	272.413865849653	1.29922130121301	0.160941262572919	8.07264265510755	6.87927229273876e-16	2.93802254169051e-13	3L	mthl14
FBgn0010417	815.873951189587	-0.821645952975996	0.102141891120003	-8.04416233111129	8.6837349253981e-16	3.56033131941322e-13	3L	Taf6
FBgn0026176	272.760929126706	1.85942666515664	0.231738482262371	8.0238148062583	1.0251081196981e-15	3.89161415811314e-13	2R	SkpB
FBgn0030600	396.861780978126	1.73706226269993	0.216397773090119	8.02717254385299	9.97447551247439e-16	3.89161415811314e-13	X	hiw
FBgn0039827	534.969387596422	-1.71923892513101	0.2144940924747	-8.01532063328875	1.09850067928148e-15	4.02129712951257e-13	3R	CG1544
FBgn0029588	115.94535999898	-1.83281886363781	0.230853339296892	-7.93932142900771	2.0329033178826e-15	6.94575300276555e-13	X	CG14798
FBgn0041630	235.320527886852	-2.01184725437617	0.253330004031348	-7.9416066883543	1.99578935234201e-15	6.94575300276555e-13	3L	Hexo1
FBgn0035227	2229.70530544157	-0.674010875364476	0.0852115650567251	-7.9098520830569	2.57694895040985e-15	8.52055701345194e-13	3L	Iml1
FBgn0027528	164.053509504392	2.92796776912484	0.372220823312148	7.86621162962025	3.6554195998018e-15	1.17087659056151e-12	X	goe
FBgn0028408	55.120123389349	2.61039110725497	0.332215141164679	7.85753201405411	3.91775894586569e-15	1.2168796725795e-12	2R	Drep2
FBgn0030662	211.608434157888	-1.80529892879621	0.233834562388564	-7.7204110049238	1.15955189851923e-14	3.49570792935944e-12	X	CG9220
FBgn0264478	32.7281157349378	4.16742364202146	0.545020581410278	7.64636012687442	2.06748125776658e-14	6.05476654060212e-12	3L	CG43886
FBgn0020908	66.2662979410928	2.23910213300419	0.294909847448398	7.59249700332905	3.13798742907483e-14	8.93454754111582e-12	2R	Scp1
FBgn0040322	162.646461108773	-1.17355151384565	0.155246196575355	-7.55929317260936	4.05265539409147e-14	1.1226950753902e-11	3L	GNBP2
FBgn0025383	47.0646717423841	-2.42373273581636	0.321726265389395	-7.53352460323015	4.93887016128783e-14	1.33219524087369e-11	X	CG14780
FBgn0028990	335.510182480091	1.47084716495211	0.196001583356306	7.50426164812302	6.17758040632207e-14	1.62359485037952e-11	2L	Spn27A
FBgn0023000	228.695417101025	-1.68938850037297	0.22566298047057	-7.48633425318645	7.08238866796267e-14	1.81486209616543e-11	3L	mth
FBgn0085384	1228.79008522283	2.25165956605185	0.300959932492614	7.48159247446375	7.34273427141698e-14	1.83568356785425e-11	3R	CG34355
FBgn0000557	326.230302915269	1.57522998747446	0.210760934447467	7.47401311160487	7.77853854625454e-14	1.89833381188355e-11	3R	eEF1alpha2
FBgn0030669	360.679572142046	-0.949357957123493	0.127525458453354	-7.44445829591548	9.73430173386692e-14	2.32038587842177e-11	X	CG9240
FBgn0034221	177.975940107927	2.48100671491068	0.334524902010692	7.4165083077474	1.20248342097455e-13	2.80123978749752e-11	2R	CG10764
FBgn0052207	372.380950906524	-1.25426212708618	0.169489556604702	-7.40023251114803	1.3594625085811e-13	3.07436391609955e-11	3L	hpRNA:CR32207
FBgn0035496	78.6296532754041	3.4809859660579	0.470513589935843	7.39826870151095	1.37971453795687e-13	3.07436391609955e-11	3L	CG14990
FBgn0022023	4192.07687357081	-0.842220102514653	0.114717546045765	-7.34168513488478	2.10921134113676e-13	4.59987579715995e-11	2L	eIF3h
FBgn0065032	124.32822928363	2.25676377154651	0.309478436151579	7.29215191730249	3.05042909010968e-13	6.51393711950504e-11	X	Arpc3B
FBgn0040351	57.120154253762	2.56567722652697	0.352527078768396	7.27795786777722	3.38911134764573e-13	7.08946761497321e-11	X	CG11638
FBgn0041105	1216.08374779847	1.61068967438011	0.222323836091666	7.24479076420761	4.33107305189481e-13	8.87869975638437e-11	3R	nerfin-2
FBgn0029708	55.0003642147507	4.34159871450305	0.599543722021386	7.24150475609214	4.43733601027835e-13	8.91817531477512e-11	X	CG3556
FBgn0030747	587.505108156692	1.40660540867701	0.195765994473246	7.18513658340822	6.71400335744168e-13	1.3234333541111e-10	X	CG4301
FBgn0037249	14340.1003750041	-0.997224081967055	0.138863504759319	-7.18132589045237	6.90385653437112e-13	1.33517980145857e-10	3R	eIF3a
