	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	symbol
FBgn0014092	272.719362039977	-2.10538830704955	0.143732297504585	-14.6479833941456	1.38773670183512e-48	1.422430119381e-44	2L	CG4278
FBgn0052207	372.380950906524	-2.51140014889934	0.176345567365401	-14.2413568224005	5.07323888044749e-46	2.60003492622934e-42	3L	hpRNA:CR32207
FBgn0000146	1675.08400902098	-1.84510617569122	0.131065865087384	-14.0777018826454	5.207588102659e-45	1.77925926840849e-41	2L	aub
FBgn0037298	712.648244462631	-3.00181856698483	0.226203256510942	-13.2704480620049	3.43520593055925e-40	8.80271519705808e-37	3R	Sccpdh1
FBgn0000826	171.562004521329	-3.16992821642649	0.240690716570497	-13.1701307869015	1.30371633914617e-39	2.67261849524964e-36	X	png
FBgn0002962	163.4779302308	2.356469290023	0.185527673503945	12.701443647289	5.80489022761647e-37	9.91668747217813e-34	3R	nos
FBgn0031245	171.430069217974	-3.33587601642787	0.263939140394832	-12.6388076108669	1.28995317159413e-36	1.88886000126283e-33	2L	CG3625
FBgn0038815	311.496307786437	-2.33444653143166	0.18777703079395	-12.432013231657	1.75166510016258e-35	2.2443209095833e-32	3R	CG5466
FBgn0263111	225.36812671582	-2.92997208261254	0.236641273263161	-12.3814922148184	3.29165138586954e-35	3.74882518946253e-32	X	cac
FBgn0031313	824.734642544797	-3.5093577325095	0.287332397002314	-12.2135817928016	2.63048495162715e-34	2.69624707541782e-31	2L	CG5080
FBgn0000108	397.867150434221	-4.51914226252281	0.377330172566812	-11.9766257539943	4.71110996255058e-33	4.3898979196494e-30	X	Appl
FBgn0035151	138.192131586494	-3.10489600962985	0.262785619816078	-11.8153193154289	3.25310575041706e-32	2.7786944951479e-29	3L	CG17129
FBgn0051658	307.551426302579	-1.84819873684985	0.157563880080416	-11.7298376754024	8.9630394285337e-32	6.56222529589075e-29	2L	Nnf1b
FBgn0036191	476.241243755763	-1.69518443208433	0.144458851206453	-11.7347218112766	8.46040364116114e-32	6.56222529589075e-29	3L	Sugb
FBgn0016034	403.447740547201	-1.64364851856462	0.141915627574039	-11.5818711910858	5.09222319294896e-31	3.47968584851512e-28	3L	mael
FBgn0036282	120.01856326761	-3.85893726879734	0.341544541431008	-11.2984890715252	1.33495010931008e-29	8.55202413776771e-27	3L	Smyd4-2
FBgn0030230	369.539340458891	-1.9947700358648	0.180563582540682	-11.0474659828782	2.25490011334993e-28	1.35957212716687e-25	X	Rph
FBgn0040322	162.646461108773	-1.74178564987902	0.158898899487543	-10.9615966850392	5.84587523878057e-28	3.32890117763893e-25	3L	GNBP2
FBgn0027550	474.516683253682	-3.96257563284932	0.361748053495876	-10.9539653207685	6.36010210998914e-28	3.43110771723099e-25	2L	CG6495
FBgn0062928	541.517484558324	-2.18258134598854	0.200496465326783	-10.8858844091402	1.34585825972811e-27	6.89752358110656e-25	3L	hpRNA:CR33940
FBgn0003227	140.341999455547	-2.1972463259982	0.206947305780748	-10.6174193363314	2.47303523379958e-26	1.20707672125932e-23	3R	rec
FBgn0023000	228.695417101025	-2.41970599053688	0.229616955690699	-10.538010937643	5.7706473694619e-26	2.68859706986293e-23	3L	mth
FBgn0024196	998.409929256767	-1.37663617082546	0.131107883751424	-10.5000258675177	8.63564588486462e-26	3.84849436173315e-23	2R	robl
FBgn0038330	225.509349894863	-2.16038956493595	0.20646476278196	-10.4637204713594	1.26777735483668e-25	5.41446578628166e-23	3R	CG14868
FBgn0035227	2229.70530544157	-0.887525804101456	0.085128467991696	-10.4257227345855	1.89215273412976e-25	7.75782620993202e-23	3L	Iml1
FBgn0034248	227.187380219962	-1.92632313557986	0.185633884607167	-10.3770016969493	3.15529382421436e-25	1.24391391146912e-22	2R	CG14483
FBgn0030057	541.706570371748	-1.6771540492538	0.161789236630196	-10.3662894033384	3.52965527741027e-25	1.33996172568353e-22	X	Ppt1
FBgn0032715	116.596654507892	-2.35685027206983	0.233189944954356	-10.1069978490331	5.1436319889018e-24	1.88293671022298e-21	2L	CG17597
FBgn0010549	328.994327934674	-2.98999116372436	0.296803814791885	-10.0739647360021	7.20151764319399e-24	2.54536399457719e-21	2R	l(2)03659
FBgn0033469	304.874468636313	4.17427283843229	0.417160034397604	10.0064064009874	1.42847352231311e-23	4.88061786790311e-21	2R	CG12133
FBgn0002021	680.309194823412	-1.52290718809935	0.154613511448352	-9.8497678102866	6.87025059237044e-23	2.27161511521926e-20	2L	l(2)37Bb
FBgn0029588	115.94535999898	-2.30710943530549	0.234538286926073	-9.83681370552817	7.81466248207101e-23	2.50313407628837e-20	X	CG14798
FBgn0037332	645.233345496804	-1.0490339491316	0.106858264239626	-9.81705960316909	9.50763024122443e-23	2.95312757492577e-20	3R	Hcs
