	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chr	symbol
FBgn0086355	1799.20228026711	-2.26529439418534	0.144400249051365	-15.6876072518375	1.83856277463003e-55	1.88452684399578e-51	3R	Tpi
FBgn0028990	335.510182480091	2.85785907894066	0.191737095076505	14.9050921930384	3.05390799784893e-50	1.56512784889758e-46	2L	Spn27A
FBgn0030653	136.401620429196	-5.12059351071685	0.366160163879971	-13.9845729160079	1.93635743986967e-44	6.61588791955471e-41	X	CG7860
FBgn0053460	554.794301630078	5.86183361848527	0.423988046887599	13.8254690468651	1.7894226804619e-43	4.58539561868361e-40	2R	CG33460
FBgn0026080	198.756743103975	-2.65045707899697	0.2043556623834	-12.9698245112697	1.81445278091892e-38	3.71962820088379e-35	X	Tip60
FBgn0035083	1878.16412659397	-2.25378934171319	0.174169724932714	-12.9401900507329	2.66968259448919e-38	4.5607077655857e-35	2R	Tina-1
FBgn0033926	36599.6397189065	1.63114793562268	0.128289395893238	12.714596746407	4.9063401193163e-37	7.18428374614173e-34	2R	Arc1
FBgn0262366	161.31897161566	2.81005934082283	0.223166779359973	12.5917457288307	2.34430657859576e-36	3.00364280382582e-33	3L	CG43064
FBgn0283536	1265.35351777636	-1.08174679965138	0.0879712757350559	-12.2965910248851	9.44779955999623e-35	1.0759993943329e-31	3R	Vha13
FBgn0032129	358.007451555891	4.62639825566468	0.38604359775422	11.9841341303894	4.30317042820509e-33	4.00977244446383e-30	2L	jp
FBgn0051211	1254.25398555703	-1.17761250954823	0.0982082564861897	-11.9909725687252	3.96225429851238e-33	4.00977244446383e-30	3R	CG31211
FBgn0014869	1453.56237578054	-1.09018699332979	0.0916033054040093	-11.9011752744249	1.16692051327969e-32	9.9674460509307e-30	3R	Pglym78
FBgn0010549	328.994327934674	-3.4882116162299	0.302769792639105	-11.5210027586463	1.034005873426e-30	8.15273861739728e-28	2R	l(2)03659
FBgn0037135	4659.83277079781	-1.13696959796244	0.0996431508461619	-11.4104139452374	3.70959733957987e-30	2.71595519504955e-27	3L	CG7414
FBgn0010246	5412.26261825776	1.58536092975053	0.139854496068015	11.3357880820616	8.72432154373399e-30	5.96161972155156e-27	3L	Myo61F
FBgn0004797	385.165517645665	1.86558407514868	0.165159933198621	11.2956213956876	1.37925048442308e-29	8.83582341583534e-27	2L	mdy
FBgn0028331	1898.72684444658	-1.55202887468392	0.138799924318642	-11.1817703237427	5.00808570222751e-29	3.01958108516659e-26	X	l(1)G0289
FBgn0028424	825.192608080186	-2.49347383914043	0.223164993947432	-11.1732301515343	5.51385384138779e-29	3.13983343745694e-26	2R	JhI-26
FBgn0035085	412.475894412767	-2.20796192426212	0.197911609135118	-11.1563032300682	6.67081227486449e-29	3.59872767459795e-26	2R	CG3770
FBgn0267376	1583.91522260555	1.57107912839049	0.14122729097144	11.1244725972135	9.53682068723039e-29	4.88762060220558e-26	3R	SelR
FBgn0030747	587.505108156692	2.13160228309253	0.19482802968269	10.940942566448	7.34324566826355e-28	3.58420324284292e-25	X	CG4301
FBgn0053784	2004.15445429069	1.96188072273168	0.179852560071762	10.908272431312	1.0523719532238e-27	4.90309660024724e-25	3R	CG33784
FBgn0031322	275.211441400474	3.26585177148634	0.300866603807712	10.8548164872881	1.89186424776005e-27	8.4311341476263e-25	2L	CG5001
FBgn0031069	1209.39902416709	1.82010689287729	0.167840927587358	10.8442375708985	2.12399364322357e-27	9.07122285126735e-25	X	Pmp70
FBgn0013981	3872.6605361837	-1.25226602471308	0.118685445149208	-10.5511339081112	5.01877095804507e-26	2.05769609279848e-23	3R	His4r
FBgn0034935	327.115482050471	-1.90331899573482	0.180724623827575	-10.5315974958163	6.17770536914127e-26	2.43544153975762e-23	2R	Orcokinin
FBgn0038683	853.700649810169	-1.14800527116808	0.10977745216468	-10.4575689135682	1.35282133887299e-25	5.13571063831411e-23	3R	CG11779
FBgn0263240	522.37117412765	-1.5039046164693	0.144448140246086	-10.4113809558725	2.20006752257207e-25	8.0538186094156e-23	2R	Coop
FBgn0082585	656.370498723751	-2.30241903363192	0.221402088046257	-10.3992652189932	2.4985236305417e-25	8.83098869415601e-23	2R	sprt
FBgn0014427	82.4051033732732	-3.449351631374	0.333899542361586	-10.3305072147677	5.12886584461407e-25	1.75236249690981e-22	3R	CG11899
FBgn0031547	176.506428738031	4.92525697193695	0.478020714289498	10.3034383755892	6.79868776671064e-25	2.24795321318658e-22	2L	Sr-CIV
FBgn0033716	286.581867688588	-1.43437171951233	0.139574135927936	-10.2767730566709	8.96800409203442e-25	2.87256381072977e-22	2R	Den1
FBgn0035847	150.878933881818	-2.78067127928411	0.272371133145894	-10.209126228493	1.80482760273598e-24	5.60590391758904e-22	3L	mthl7
FBgn0052432	237.941711671916	1.6345313357156	0.16092825279223	10.1568948109186	3.08753475523088e-24	9.30800918856368e-22	3L	CG32432
FBgn0035623	289.550367178582	8.22732911767831	0.813583639907287	10.1124564385487	4.86489309217093e-24	1.42471869127863e-21	3L	mthl2
FBgn0036551	83.5391052322798	3.42113059902554	0.338918117010138	10.0942688729833	5.85658579058952e-24	1.66750012093174e-21	3L	CG17029
FBgn0015777	608.539590569911	-2.05619477477029	0.204004718273208	-10.0791530322185	6.83124132689416e-24	1.89243847569365e-21	2L	nrv2
FBgn0261573	1442.94851842255	-1.27597951763518	0.126959716086794	-10.0502707233756	9.1615386066147e-24	2.43865086560507e-21	X	CoRest
FBgn0262559	1638.57269554757	-1.5303145642897	0.152284990432682	-10.0490176999169	9.27876914718025e-24	2.43865086560507e-21	3R	Mdh2
FBgn0037754	329.745487022711	-2.61441430425059	0.26214155384608	-9.97329216178251	1.99504005815238e-23	5.11229014901547e-21	3R	CG8500
FBgn0053465	222.765334204044	5.64241293614923	0.566019329047285	9.96858701918616	2.09183497599959e-23	5.22958743999898e-21	2R	CG33465
FBgn0029974	517.259336390582	2.39186888439134	0.240621209611695	9.94039090839597	2.77735088912973e-23	6.77805871751899e-21	X	dpr14
FBgn0039593	191.849725758162	4.91593450602855	0.49486576404184	9.93387472569816	2.96504679464512e-23	7.06784410351454e-21	3R	Sid
FBgn0051453	886.703705908233	-1.086942135888	0.109916486769487	-9.88879983188962	4.65575880633667e-23	1.08458017647616e-20	3R	pch2
FBgn0033313	1429.0312139961	-1.5969519252624	0.163097450200066	-9.79139724933452	1.22589942373703e-22	2.79232646517878e-20	2R	Cirl
FBgn0039883	207.009215522915	-2.12426679892473	0.217536319997459	-9.76511324154762	1.58934351821959e-22	3.54147196994584e-20	3R	RhoGAP100F
FBgn0000346	718.166679777188	1.293511933081	0.133823774329087	9.66578576613832	4.21373696020606e-22	9.18953273236428e-20	X	comt
FBgn0038612	2529.00823506538	-1.72365555603996	0.179586672712441	-9.59790350812903	8.15869828326637e-22	1.70666647762205e-19	3R	cona
FBgn0002926	154.315877452841	-2.49596052909414	0.26002669066847	-9.59886280395904	8.08312908209651e-22	1.70666647762205e-19	3L	ndl
FBgn0025463	1150.84015536489	-0.941447093800302	0.0988943448593763	-9.51972628100223	1.73635802155497e-21	3.55953394418769e-19	X	Bap60
FBgn0024732	265.252203684934	-2.33317454154975	0.246190393744744	-9.47711446438012	2.6141176827664e-21	5.25386397026581e-19	2R	Drep1
FBgn0030662	211.608434157888	-2.26260861691332	0.239554065329875	-9.44508544990719	3.5511445192102e-21	6.99985217728934e-19	X	CG9220
FBgn0027616	1396.39815446363	-1.11736275299753	0.118503800970591	-9.42891910509126	4.143365544408e-21	8.0131126094683e-19	3L	Ythdc1
FBgn0038832	156.690583089641	5.0116693006053	0.532164618702576	9.41751691952729	4.61881346697242e-21	8.76719222897543e-19	3R	CG15695
FBgn0039827	534.969387596422	-2.03361401062398	0.216220518388088	-9.40527765720137	5.18930121485588e-21	9.67097044586778e-19	3R	CG1544
FBgn0035770	1746.76530932491	-1.03032168577895	0.110248842995427	-9.34541948727466	9.15259337909329e-21	1.67525146670904e-18	3L	pst
FBgn0032233	215.217210000609	-1.73453591125623	0.18651656176157	-9.29963481459378	1.40928884096105e-20	2.5342474771668e-18	2L	dpr19
FBgn0259896	260.652159832044	4.12625070465337	0.443993060552744	9.29350269465122	1.49292613857285e-20	2.63836084833995e-18	2L	NimC1
FBgn0041710	2233.11247370977	1.67898582596902	0.181469801698487	9.25215000101596	2.20021655775469e-20	3.82241012152297e-18	3R	yellow-f
FBgn0037891	1737.36120981727	-0.936755258426088	0.10164151326178	-9.21626634988657	3.07625402177801e-20	5.2552672872041e-18	3R	CG5214
FBgn0040813	2909.90011180555	4.34816907887905	0.474531013348833	9.1630872515442	5.04334033451142e-20	8.47446531618722e-18	3L	Nplp2
FBgn0004507	1832.10318148646	-1.15204936076057	0.125866108863543	-9.15297510316742	5.53867496051664e-20	9.15668037827348e-18	2L	GlyP
FBgn0027885	2886.43753480857	-1.17226171116307	0.128231379652543	-9.14176946656459	6.14386956984508e-20	9.99597826839873e-18	2L	NA
FBgn0262587	1689.58467319573	2.59841384922171	0.285543778590007	9.09987905200552	9.04324800487369e-20	1.44833268828055e-17	3R	CG43124
FBgn0032393	3100.88964840559	-1.07186004402398	0.117963202957762	-9.08639318998296	1.02378986141846e-19	1.61443785839064e-17	2L	Nfs1
FBgn0033845	1539.99689102028	-1.21345598805653	0.134318084394623	-9.03419664988247	1.65211431390305e-19	2.52748831604571e-17	2R	mars
FBgn0030746	253.237277566717	2.65981115530666	0.294370131873731	9.03560133080206	1.63103183453734e-19	2.52748831604571e-17	X	CG9981
FBgn0041105	1216.08374779847	2.00517592686476	0.222124239285976	9.0272720046693	1.76004529130155e-19	2.6530094464472e-17	3R	nerfin-2
FBgn0053138	1040.41622823913	-1.21049437579151	0.135469089682811	-8.93557621613739	4.05061673055527e-19	6.017220505535e-17	2R	AGBE
FBgn0033469	304.874468636313	3.73675262420945	0.418783540863874	8.92287365568668	4.54342947746659e-19	6.65287887771893e-17	2R	CG12133
